loss,accuracy,precision,recall,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,regularization,dropout
0.8975167274475098,0.5149725675582886,0.5149725675582886,0.5149725675582886,[0.47440583 0.5497259 ],0.8513491153717041,0.5666104555130005,0.5666104555130005,0.5666104555130005,[0.3493671  0.67509484],l2,0.0
0.790528416633606,0.6098692417144775,0.6098692417144775,0.6098692417144775,[0.59904635 0.62012327],0.8053744435310364,0.5733557939529419,0.5733557939529419,0.5733557939529419,[0.32533333 0.6880395 ],l2,0.0
0.6929714679718018,0.6849430799484253,0.6849430799484253,0.6849430799484253,[0.6750761 0.6942284],0.7344996929168701,0.655986487865448,0.655986487865448,0.655986487865448,[0.5188679 0.7322835],l2,0.0
0.5905205011367798,0.7760438919067383,0.7760438919067383,0.7760438919067383,[0.76452327 0.7864898 ],0.6463510394096375,0.7116357684135437,0.7116357684135437,0.7116357684135437,[0.6545454  0.75253254],l2,0.0
0.5091155767440796,0.8266554474830627,0.8266554474830627,0.8266554474830627,[0.8174145 0.835006 ],0.5900005102157593,0.7757167220115662,0.7757167220115662,0.7757167220115662,[0.7612209 0.7885532],l2,0.0
0.45158258080482483,0.8549135327339172,0.8549135327339172,0.8549135327339172,[0.8488576 0.8605028],0.5607213973999023,0.8010118007659912,0.8010118007659912,0.8010118007659912,[0.7937063 0.8078176],l2,0.0
0.4253196716308594,0.8650358319282532,0.8650358319282532,0.8650358319282532,[0.8619499 0.8679868],0.5514842867851257,0.7959527969360352,0.7959527969360352,0.7959527969360352,[0.7843137  0.80639994],l2,0.0
0.3851930797100067,0.8848587274551392,0.8848587274551392,0.8848587274551392,[0.8823783 0.8872366],0.5463586449623108,0.8060708045959473,0.8060708045959473,0.8060708045959473,[0.7978911 0.8136143],l2,0.0
0.3680388629436493,0.8878110647201538,0.8878110647201538,0.8878110647201538,[0.8861301 0.889443 ],0.5571953058242798,0.7993254661560059,0.7993254661560059,0.7993254661560059,[0.78938055 0.80837363],l2,0.0
0.34604620933532715,0.8983551263809204,0.8983551263809204,0.8983551263809204,[0.8980973 0.8986116],0.552343487739563,0.8094435334205627,0.8094435334205627,0.8094435334205627,[0.8027923  0.81566066],l2,0.0
0.8759235143661499,0.5883593559265137,0.5883593559265137,0.5883593559265137,[0.56193894 0.611774  ],0.8293555378913879,0.6593592166900635,0.6593592166900635,0.6593592166900635,[0.53456223 0.73138297],l2,0.25
0.7591748833656311,0.7047659158706665,0.7047659158706665,0.7047659158706665,[0.69135803 0.71705735],0.7041673064231873,0.728499174118042,0.728499174118042,0.728499174118042,[0.688588   0.75934225],l2,0.25
0.6252670884132385,0.7794179916381836,0.7794179916381836,0.7794179916381836,[0.76990765 0.7881733 ],0.6252824664115906,0.7639123201370239,0.7639123201370239,0.7639123201370239,[0.73880607 0.7846154 ],l2,0.25
0.5526241660118103,0.822859525680542,0.822859525680542,0.822859525680542,[0.81755   0.8278689],0.6127326488494873,0.753794252872467,0.753794252872467,0.753794252872467,[0.72243345 0.778788  ],l2,0.25
0.50868159532547,0.8367777466773987,0.8367777466773987,0.8367777466773987,[0.83254004 0.8408063 ],0.5888835787773132,0.7672849893569946,0.7672849893569946,0.7672849893569946,[0.73764265 0.7909091 ],l2,0.25
0.48139145970344543,0.8447912335395813,0.8447912335395813,0.8447912335395813,[0.84165233 0.84780806],0.5821164846420288,0.7504215836524963,0.7504215836524963,0.7504215836524963,[0.7131783  0.77910453],l2,0.25
0.45968466997146606,0.8515394330024719,0.8515394330024719,0.8515394330024719,[0.84534264 0.85725874],0.5090553164482117,0.8145025372505188,0.8145025372505188,0.8145025372505188,[0.81099653 0.81788075],l2,0.25
0.4152306020259857,0.8760017156600952,0.8760017156600952,0.8760017156600952,[0.87371135 0.8782104 ],0.478062242269516,0.826306939125061,0.826306939125061,0.826306939125061,[0.82393163 0.82861894],l2,0.25
0.39848604798316956,0.8797975778579712,0.8797975778579712,0.8797975778579712,[0.87887806 0.8807032 ],0.48036855459213257,0.8161888718605042,0.8161888718605042,0.8161888718605042,[0.8097731 0.822186 ],l2,0.25
0.37499499320983887,0.8894981145858765,0.8894981145858765,0.8894981145858765,[0.88860536 0.8903766 ],0.4810973107814789,0.8145025372505188,0.8145025372505188,0.8145025372505188,[0.8049645 0.8231512],l2,0.25
0.935124397277832,0.5002108812332153,0.5006342530250549,0.499367356300354,[0.34421697 0.59775585],0.8911837935447693,0.4839797616004944,0.4839797616004944,0.4839797616004944,[0.         0.65227276],l2,0.5
0.8686016798019409,0.4909321069717407,0.4909321069717407,0.4909321069717407,[0.6082441  0.27332932],0.8446326851844788,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.8268382549285889,0.5099114179611206,0.5099114179611206,0.5099114179611206,[0.6750559  0.00343053],0.808531641960144,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7957261800765991,0.5111767053604126,0.5111767053604126,0.5111767053604126,[0.6761665  0.00343938],0.7827894687652588,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7737423181533813,0.5107549428939819,0.5107549428939819,0.5107549428939819,[0.6761586 0.       ],0.7645644545555115,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7579073905944824,0.5107549428939819,0.5107549428939819,0.5107549428939819,[0.6761586 0.       ],0.7510835528373718,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.5
0.7446995973587036,0.5153943300247192,0.5153943300247192,0.5153943300247192,[0.675332   0.04488778],0.734538197517395,0.5733557939529419,0.5733557939529419,0.5733557939529419,[0.60282576 0.53916204],l2,0.5
0.7059065699577332,0.589202880859375,0.589202880859375,0.589202880859375,[0.64888245 0.5050813 ],0.6873887777328491,0.7318718433380127,0.7318718433380127,0.7318718433380127,[0.73455757 0.72913116],l2,0.5
0.6327656507492065,0.6849430799484253,0.6849430799484253,0.6849430799484253,[0.71672356 0.6451307 ],0.6213712692260742,0.7436762452125549,0.7436762452125549,0.7436762452125549,[0.70428014 0.7738095 ],l2,0.5
0.5877699851989746,0.7262758612632751,0.7262758612632751,0.7262758612632751,[0.7512457 0.6957337],0.5900087356567383,0.7942664623260498,0.7942664623260498,0.7942664623260498,[0.7896552 0.7986799],l2,0.5
1.030564546585083,0.50316321849823,0.5042517185211182,0.5002108812332153,[0.57988596 0.4006132 ],0.9141187071800232,0.5059021711349487,0.5059021711349487,0.5059021711349487,[0.6718925 0.       ],l2,0.75
0.9113926291465759,0.4985238313674927,0.4985238313674927,0.4985238313674927,[0.6510126 0.1093633],0.8946164846420288,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8874844312667847,0.5035849809646606,0.5035849809646606,0.5035849809646606,[0.66572    0.03603604],0.8735273480415344,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8647934794425964,0.5052720308303833,0.5052720308303833,0.5052720308303833,[0.67059815 0.00677392],0.8523529767990112,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8416028022766113,0.508224368095398,0.508224368095398,0.508224368095398,[0.6733894  0.00511945],0.8326162099838257,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8224771618843079,0.508224368095398,0.508224368095398,0.508224368095398,[0.6733894  0.00511945],0.8146246075630188,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.8027742505073547,0.5090678930282593,0.5090678930282593,0.5090678930282593,[0.67118645 0.03161398],0.7925763726234436,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.779829204082489,0.4926191568374634,0.4926191568374634,0.4926191568374634,[0.6532142  0.05498822],0.769540548324585,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.75
0.7597352266311646,0.5027414560317993,0.5027414560317993,0.5027414560317993,[0.66091454 0.06798419],0.7493829727172852,0.5193929076194763,0.5193929076194763,0.5193929076194763,[0.6815643  0.02061855],l2,0.75
0.7349166870117188,0.5115984678268433,0.5115984678268433,0.5115984678268433,[0.6488781  0.19806094],0.7286142110824585,0.655986487865448,0.655986487865448,0.655986487865448,[0.7166667 0.5622317],l2,0.75
