loss,accuracy,precision,recall,f1_score,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,regularization,dropout,epoch
0.8943092226982117,0.5229860544204712,0.5229860544204712,0.5229860544204712,[0.6317161  0.32315978],0.8540327548980713,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.1,0
0.8047760725021362,0.6178827285766602,0.6178827285766602,0.6178827285766602,[0.6748026  0.53680986],0.7794862389564514,0.6795952916145325,0.6795952916145325,0.6795952916145325,[0.6169355 0.7246377],l2,0.1,1
0.7228654026985168,0.7022353410720825,0.7022353410720825,0.7022353410720825,[0.70705396 0.6972556 ],0.7130891680717468,0.7470489144325256,0.7470489144325256,0.7470489144325256,[0.7035573  0.77941173],l2,0.1,2
0.6195924878120422,0.7849009037017822,0.7849009037017822,0.7849009037017822,[0.7731317 0.7955092],0.6130779981613159,0.774030327796936,0.774030327796936,0.774030327796936,[0.7673611  0.78032786],l2,0.1,3
0.5240980982780457,0.83762127161026,0.83762127161026,0.83762127161026,[0.8328268 0.8421485],0.5648268461227417,0.7824620604515076,0.7824620604515076,0.7824620604515076,[0.7716814  0.79227054],l2,0.1,4
0.48419687151908875,0.84394770860672,0.84394770860672,0.84394770860672,[0.84065455 0.8471074 ],0.5564740896224976,0.7976391315460205,0.7976391315460205,0.7976391315460205,[0.8       0.7952218],l2,0.1,5
0.44019877910614014,0.8726275563240051,0.8726275563240051,0.8726275563240051,[0.8701634 0.875    ],0.5331361293792725,0.7976391315460205,0.7976391315460205,0.7976391315460205,[0.79238755 0.80263156],l2,0.1,6
0.4167882800102234,0.8696752190589905,0.8696752190589905,0.8696752190589905,[0.86890113 0.87044024],0.5395596623420715,0.7959527969360352,0.7959527969360352,0.7959527969360352,[0.7865962  0.80452347],l2,0.1,7
0.40343227982521057,0.8734710812568665,0.8734710812568665,0.8734710812568665,[0.87320375 0.87373734],0.5346488952636719,0.7908937335014343,0.7908937335014343,0.7908937335014343,[0.7832168 0.7980456],l2,0.1,8
0.4016704559326172,0.8700969815254211,0.8700969815254211,0.8700969815254211,[0.8683761 0.8717735],0.5039636492729187,0.8145025372505188,0.8145025372505188,0.8145025372505188,[0.80968857 0.8190789 ],l2,0.1,9
0.9076211452484131,0.5322648882865906,0.5322648882865906,0.5322648882865906,[0.59001845 0.45557192],0.8641524314880371,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.15,0
0.8270183801651001,0.5272037386894226,0.5272037386894226,0.5272037386894226,[0.6650732  0.19641577],0.8001610636711121,0.6121416687965393,0.6121416687965393,0.6121416687965393,[0.49561402 0.6849315 ],l2,0.15,1
0.7633646726608276,0.6326444745063782,0.6326444745063782,0.6326444745063782,[0.5707245 0.6789532],0.7407670617103577,0.6290050745010376,0.6290050745010376,0.6290050745010376,[0.48356813 0.71052635],l2,0.15,2
0.6710560321807861,0.6984394788742065,0.6984394788742065,0.6984394788742065,[0.63201237 0.7445516 ],0.6808860898017883,0.6610455513000488,0.6610455513000488,0.6610455513000488,[0.5314686  0.73447824],l2,0.15,3
0.6265460252761841,0.7060312032699585,0.7060312032699585,0.7060312032699585,[0.64090675 0.7511603 ],0.633213996887207,0.6981450319290161,0.6981450319290161,0.6981450319290161,[0.6183369 0.7503487],l2,0.15,4
0.5773033499717712,0.7203711271286011,0.7203711271286011,0.7203711271286011,[0.6639635 0.7605633],0.632064700126648,0.6677908897399902,0.6677908897399902,0.6677908897399902,[0.55125284 0.73627836],l2,0.15,5
0.5686963200569153,0.741459310054779,0.741459310054779,0.741459310054779,[0.70314765 0.77101237],0.6022157073020935,0.7200674414634705,0.7200674414634705,0.7200674414634705,[0.66122454 0.7614943 ],l2,0.15,6
0.5292806625366211,0.8038802146911621,0.8038802146911621,0.8038802146911621,[0.7943389 0.8125756],0.5416858196258545,0.8026981353759766,0.8026981353759766,0.8026981353759766,[0.7950963 0.8097561],l2,0.15,7
0.48810264468193054,0.8262336850166321,0.8262336850166321,0.8262336850166321,[0.8208696  0.83128583],0.5213344693183899,0.8094435334205627,0.8094435334205627,0.8094435334205627,[0.8027923  0.81566066],l2,0.15,8
0.4560146927833557,0.8355124592781067,0.8355124592781067,0.8355124592781067,[0.83233017 0.8385761 ],0.5045490264892578,0.8195615410804749,0.8195615410804749,0.8195615410804749,[0.81195074 0.8265802 ],l2,0.15,9
0.8931922316551208,0.5014761686325073,0.5014761686325073,0.5014761686325073,[0.65418375 0.10725076],0.8527458310127258,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.2,0
0.8239863514900208,0.5120202302932739,0.5120202302932739,0.5120202302932739,[0.67708623 0.00172563],0.7956432104110718,0.5160202383995056,0.5160202383995056,0.5160202383995056,[0.6807564 0.       ],l2,0.2,1
0.7774278521537781,0.5120202302932739,0.5120202302932739,0.5120202302932739,[0.66000587 0.13592233],0.7573792338371277,0.502529501914978,0.502529501914978,0.502529501914978,[0.06940064 0.6605294 ],l2,0.2,2
0.743238627910614,0.573175847530365,0.573175847530365,0.573175847530365,[0.56454384 0.58147234],0.7226775288581848,0.5311973094940186,0.5311973094940186,0.5311973094940186,[0.16766468 0.6737089 ],l2,0.2,3
0.671629011631012,0.6992830038070679,0.6992830038070679,0.6992830038070679,[0.6485954  0.73719126],0.6109227538108826,0.7419899106025696,0.7419899106025696,0.7419899106025696,[0.7233273 0.7582938],l2,0.2,4
0.5186173319816589,0.8237030506134033,0.8237030506134033,0.8237030506134033,[0.81682736 0.8300813 ],0.5557237863540649,0.7706576585769653,0.7706576585769653,0.7706576585769653,[0.75539577 0.784127  ],l2,0.2,5
0.45310893654823303,0.8409953713417053,0.8409953713417053,0.8409953713417053,[0.840457   0.84152997],0.5347891449928284,0.789207398891449,0.789207398891449,0.789207398891449,[0.78411055 0.7940692 ],l2,0.2,6
0.42650896310806274,0.8625052571296692,0.8625052571296692,0.8625052571296692,[0.862679  0.8623311],0.53095942735672,0.7774030566215515,0.7774030566215515,0.7774030566215515,[0.76086956 0.7917981 ],l2,0.2,7
0.4016168713569641,0.8629270195960999,0.8629270195960999,0.8629270195960999,[0.86246294 0.863388  ],0.5094299912452698,0.7993254661560059,0.7993254661560059,0.7993254661560059,[0.7930435  0.80523735],l2,0.2,8
0.38770952820777893,0.8776887655258179,0.8776887655258179,0.8776887655258179,[0.8789649 0.8763854],0.5186678171157837,0.789207398891449,0.789207398891449,0.789207398891449,[0.7714808  0.80438185],l2,0.2,9
